#########################BEGIN-PROLOG#########################
JobName   = chunk8_pcg50_s4
Account   = yanggrp
NodeList  = lovelace
Resources = cpu=4,mem=96G,node=1,billing=4,gres/gpu=1,gres/gpu:l40s=1
WorkDir   = /deac/csc/yangGrp/zhangal/BasisServe-CALS
JobName   = chunk8_pcg50_s4
Account   = yanggrp
NodeList  = lovelace
Resources = cpu=4,mem=96G,node=1,billing=4,gres/gpu=1,gres/gpu:l40s=1
WorkDir   = /deac/csc/yangGrp/zhangal/BasisServe-CALS
JobName   = chunk8_pcg50_s4
Account   = yanggrp
NodeList  = lovelace
Resources = cpu=4,mem=96G,node=1,billing=4,gres/gpu=1,gres/gpu:l40s=1
WorkDir   = /deac/csc/yangGrp/zhangal/BasisServe-CALS
###########################END-PROLOG#########################
{'stage': 'capture', 'split': 'fit', 'window': 0, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 21, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 22, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 23, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 24, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 25, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 26, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 27, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 28, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 29, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 30, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 31, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 32, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 33, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 34, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 35, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 36, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 37, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 38, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 39, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 40, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 41, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 42, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 43, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 44, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 45, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 46, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 47, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 48, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 49, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 50, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 51, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 52, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 53, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 54, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 55, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 56, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 57, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 58, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 59, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 60, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 61, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 62, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 63, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'heldout', 'window': 64, 'layer': 31, 'query_count': 32}
{'stage': 'capture', 'split': 'heldout', 'window': 65, 'layer': 31, 'query_count': 32}
{'stage': 'capture', 'split': 'heldout', 'window': 66, 'layer': 31, 'query_count': 32}
