{'stage': 'capture', 'split': 'fit', 'window': 0, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 26, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 27, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 28, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 29, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 30, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 31, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 32, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 33, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 34, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 35, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 36, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 37, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 38, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 39, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 40, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 41, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 42, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 43, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 44, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 45, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 46, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 47, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 48, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 49, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 50, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 51, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 52, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 53, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 54, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 55, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 56, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 57, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 58, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 59, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 60, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 61, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 62, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 63, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'heldout', 'window': 64, 'layer': 0, 'query_count': 32}
{'stage': 'capture', 'split': 'heldout', 'window': 65, 'layer': 0, 'query_count': 32}
{'stage': 'capture', 'split': 'heldout', 'window': 66, 'layer': 0, 'query_count': 32}
{'stage': 'capture', 'split': 'heldout', 'window': 67, 'layer': 0, 'query_count': 32}
{'stage': 'capture', 'split': 'heldout', 'window': 68, 'layer': 0, 'query_count': 32}
